Full Name,Email,Phone,Country
Dragana Lazić,dragana.lazic@example.com,037-5940-981,Serbia
Joyce Gardner,joyce.gardner@example.com,00-4584-7947,Australia
Melanie James,melanie.james@example.com,(675) 803-7711,United States
Christian Johansen,christian.johansen@example.com,65008043,Denmark
Peter Garrett,peter.garrett@example.com,041-804-7985,Ireland
Oliver Hansen,oliver.hansen@example.com,59053061,Denmark
Richard Rhodes,richard.rhodes@example.com,00-9723-1306,Australia
Marion Clement,marion.clement@example.com,01-62-75-48-26,France
Livia Grønnestad,livia.gronnestad@example.com,69455418,Norway
Svyatolyuba Dorosh,svyatolyuba.dorosh@example.com,(096) M63-9296,Ukraine
